scope,model,probability_bin,bin_lower,bin_upper,nobs,mean_predicted,observed_rate,calibration_bias_pp
NSW1,renewable_candidate,8,0.8,0.9,168,0.8554248218691447,0.7261904761904762,12.923434567866854
NSW1,renewable_candidate,9,0.9,1.0,327,0.9558699749325683,0.8929663608562691,6.290361407629918
QLD1,renewable_candidate,0,0.0,0.1,5762,0.014726370697077124,0.014925373134328358,-0.01990024372512337
QLD1,renewable_candidate,1,0.1,0.2,416,0.145360059989711,0.25,-10.463994001028901
QLD1,renewable_candidate,2,0.2,0.3,284,0.24750803670260144,0.30985915492957744,-6.235111822697601
QLD1,renewable_candidate,3,0.3,0.4,249,0.34793450719076013,0.3815261044176707,-3.3591597226910572
QLD1,renewable_candidate,4,0.4,0.5,198,0.44809942968301114,0.4595959595959596,-1.1496529912948472
QLD1,renewable_candidate,5,0.5,0.6,194,0.5469543047433931,0.4948453608247423,5.210894391865084
QLD1,renewable_candidate,6,0.6,0.7,238,0.6554685708594504,0.634453781512605,2.101478934684542
QLD1,renewable_candidate,7,0.7,0.8,207,0.7514854598316207,0.6811594202898551,7.0326039541765635
QLD1,renewable_candidate,8,0.8,0.9,291,0.8580809534539731,0.8178694158075601,4.021153764641294
QLD1,renewable_candidate,9,0.9,1.0,945,0.9621775794190468,0.9513227513227513,1.0854828096295455
SA1,renewable_candidate,0,0.0,0.1,4403,0.03739180395355744,0.024528730411083353,1.2863073542474088
SA1,renewable_candidate,1,0.1,0.2,847,0.14123312045008415,0.1617473435655254,-2.051422311544124
SA1,renewable_candidate,2,0.2,0.3,435,0.24541734358991188,0.3103448275862069,-6.492748399629503
SA1,renewable_candidate,3,0.3,0.4,334,0.3493093738530285,0.39221556886227543,-4.2906195009246915
SA1,renewable_candidate,4,0.4,0.5,290,0.44744289093891854,0.5103448275862069,-6.290193664728838
SA1,renewable_candidate,5,0.5,0.6,266,0.5513236625654043,0.6015037593984962,-5.018009683309188
SA1,renewable_candidate,6,0.6,0.7,261,0.65086464252931,0.6513409961685823,-0.04763536392723422
SA1,renewable_candidate,7,0.7,0.8,319,0.7528579862457743,0.774294670846395,-2.143668460062076
SA1,renewable_candidate,8,0.8,0.9,455,0.8549576781856604,0.8527472527472527,0.22104254384076594
SA1,renewable_candidate,9,0.9,1.0,1174,0.954029887635134,0.969335604770017,-1.5305717134883046
VIC1,renewable_candidate,0,0.0,0.1,4568,0.029908211820290166,0.020577933450087564,0.9330278370202603
VIC1,renewable_candidate,1,0.1,0.2,787,0.1432012988071676,0.14612452350698857,-0.2923224699820981
VIC1,renewable_candidate,2,0.2,0.3,438,0.24680592148473793,0.3150684931506849,-6.826257166594699
VIC1,renewable_candidate,3,0.3,0.4,321,0.3500610902945307,0.3862928348909657,-3.6231744596435025
VIC1,renewable_candidate,4,0.4,0.5,265,0.4455035366041903,0.4377358490566038,0.7767687547586499
VIC1,renewable_candidate,5,0.5,0.6,255,0.5538522765116323,0.5803921568627451,-2.6539880351112877
VIC1,renewable_candidate,6,0.6,0.7,235,0.6511671534163438,0.6851063829787234,-3.3939229562379603
VIC1,renewable_candidate,7,0.7,0.8,269,0.7530327348954597,0.724907063197026,2.812567169843372
VIC1,renewable_candidate,8,0.8,0.9,420,0.8573549236505686,0.7904761904761904,6.68787331743782
VIC1,renewable_candidate,9,0.9,1.0,1226,0.9608471968354267,0.9363784665579119,2.446873027751484
