dataset,table_name,period,source_url,downloaded_at_utc,local_path,sha256,bytes,status
price,DISPATCHPRICE,2022-06,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_06/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202206010000.zip,2026-08-23T05:09:05.048068+00:00,data/raw/aemo_history/price/2022-06.zip,f62b069ca97c585b5e36d07570d02a545dfcde201f9e67ce40a38c3b8b345721,2420441,downloaded
price,DISPATCHPRICE,2022-07,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_07/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202207010000.zip,2026-08-23T05:09:10.087494+00:00,data/raw/aemo_history/price/2022-07.zip,db7c612b734e6bcc27c6dbfaa37d6704a96b1f57997b76b37df5baacdd3b56ea,2018149,downloaded
price,DISPATCHPRICE,2022-08,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_08/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202208010000.zip,2026-08-23T05:09:14.917036+00:00,data/raw/aemo_history/price/2022-08.zip,c4edce6b1838e8a47a577e6bf2c869ecef9473a9ae4fce0cf165ebdc82d4f1da,1973146,downloaded
price,DISPATCHPRICE,2022-09,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_09/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202209010000.zip,2026-08-23T05:09:20.125603+00:00,data/raw/aemo_history/price/2022-09.zip,cd1873eb8d4db82183f932411293ec5ab58a0baefb1feee64be5d601cdcd43c9,1938227,downloaded
price,DISPATCHPRICE,2022-10,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_10/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202210010000.zip,2026-08-23T05:09:25.672418+00:00,data/raw/aemo_history/price/2022-10.zip,376d3c6610a6a68d8c83cccd578b2bf055c48044300c23f8b08bfd0bb0ebd6aa,1692392,downloaded
price,DISPATCHPRICE,2022-11,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_11/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202211010000.zip,2026-08-23T05:09:31.073916+00:00,data/raw/aemo_history/price/2022-11.zip,58ba5012f2dc725a3102de04a9b571cf324fa4d67c5a90096aa8d6ad52fed4da,1958930,downloaded
price,DISPATCHPRICE,2022-12,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2022/MMSDM_2022_12/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202212010000.zip,2026-08-23T05:09:37.482843+00:00,data/raw/aemo_history/price/2022-12.zip,1cecb5c5acc8adc2d22b6fecc279701e84ea86b506590dab99d381c1678408f5,1703361,downloaded
price,DISPATCHPRICE,2023-01,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_01/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202301010000.zip,2026-08-23T05:09:43.620153+00:00,data/raw/aemo_history/price/2023-01.zip,31d8f8a61a26810758106276f459bce45aa35e5bbae3f028667dc0f46c3975dc,1708540,downloaded
price,DISPATCHPRICE,2023-02,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_02/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202302010000.zip,2026-08-23T05:09:49.955474+00:00,data/raw/aemo_history/price/2023-02.zip,03ed17d94d3075ee2f3f4d65d5945c8906a71c3cd9e45b463b5e42020f08f99f,1516616,downloaded
price,DISPATCHPRICE,2023-03,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_03/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202303010000.zip,2026-08-23T05:09:55.211873+00:00,data/raw/aemo_history/price/2023-03.zip,63c7d2aef6bf9713cc543df7db067148ae4c90832494be650d0fa65a43f4fbd6,1835877,downloaded
