month,region,hours,mean_price_aud_mwh,median_price_aud_mwh,negative_price_hour_share,mean_renewable_share_ws,mean_intrahour_price_sd
2020-04,NSW1,720,40.36774471527777,39.32078833333334,0.03333333333333333,0.10013326088654503,7.545839071333132
2020-04,QLD1,720,36.98955490625,37.24710916666667,0.043055555555555555,0.09024205232978741,7.042434109457672
2020-04,SA1,720,33.50263263078704,38.09442416666667,0.14444444444444443,0.5974014433115741,15.476790514457583
2020-04,TAS1,720,23.369845175925928,19.866543749999998,0.1638888888888889,0.1634288533290466,9.537211123554005
2020-04,VIC1,720,34.834594155092596,36.90174291666666,0.14305555555555555,0.15865119369444705,8.492932927799776
2020-05,NSW1,744,41.94973651433692,38.629918333333336,0.016129032258064516,0.09119673307954856,7.384813402029558
2020-05,QLD1,744,31.17942226702509,34.872378749999996,0.10483870967741936,0.09115780923015183,11.93269804718183
2020-05,SA1,744,37.26191988799283,38.21613583333333,0.11021505376344086,0.593808809809184,11.3140886134384
2020-05,TAS1,744,34.76797711021506,30.951741666666663,0.16129032258064516,0.15209723922520288,26.12027093857362
2020-05,VIC1,744,38.29028531922043,37.25329833333333,0.10349462365591398,0.17672326524061385,8.497865323679871
2020-06,NSW1,720,48.086501954861106,38.67159541666666,0.0,0.07114349823770567,16.939406499964534
2020-06,QLD1,720,33.70550415625,32.902346249999994,0.1388888888888889,0.08445649645460722,11.416410175328739
2020-06,SA1,720,50.273790950231486,41.252225,0.04861111111111111,0.5239019089283624,20.536734889965853
2020-06,TAS1,720,36.40784491435185,33.128969166666664,0.0875,0.13984371677936985,19.369812208357253
2020-06,VIC1,720,48.65622710416667,40.21114166666666,0.025,0.12479447575014015,18.738090770446167
2020-07,NSW1,744,47.980806192876344,41.98566291666667,0.005376344086021506,0.07638433150894933,9.52371330344693
2020-07,QLD1,744,38.22936810371864,35.99739791666667,0.0793010752688172,0.08378741221143272,11.195852936855722
2020-07,SA1,744,59.33482392921147,58.06793416666667,0.02956989247311828,0.4031508616676803,15.821816357706023
2020-07,TAS1,744,56.60397291778674,51.08195333333333,0.0228494623655914,0.10727269458984544,31.60560348116698
2020-07,VIC1,744,63.596935256496415,59.874599583333335,0.008064516129032258,0.1266175009392427,16.350310196973886
2020-08,NSW1,744,49.86290988239247,40.531054166666664,0.008064516129032258,0.10529796068186349,14.27775475225748
2020-08,QLD1,744,30.45469626232079,32.808481666666665,0.16666666666666666,0.09644281447647311,11.393833478906762
