model,family,outcome,parameter,coefficient,std_error,statistic,p_value,ci_lower,ci_upper,nobs,week_clusters,region_clusters,effects,sample,covariance
exposure_broad_including_hydro_negative_price_any,exposure_broad_including_hydro,negative_price_any,log_demand_centered,-0.7116158163991924,0.01847484736242978,-38.51808907749492,0.0,-0.7478261301186466,-0.6754055026797381,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_broad_including_hydro_negative_price_any,exposure_broad_including_hydro,negative_price_any,log_demand_centered_sq,-0.11332792984724467,0.004487846230095396,-25.252186469150864,0.0,-0.1221240144225844,-0.10453184527190494,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_wind_solar_output_100mw_negative_price_any,exposure_wind_solar_output_100mw,negative_price_any,renewable_output_ws_100mw,0.007357700827702205,0.0005311198020201999,13.8531849117958,0.0,0.006316717144509463,0.008398684510894948,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_wind_solar_output_100mw_negative_price_any,exposure_wind_solar_output_100mw,negative_price_any,log_demand_centered,-0.6992929185682469,0.018290645741765935,-38.23227066125065,0.0,-0.7351422009708507,-0.6634436361656432,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_wind_solar_output_100mw_negative_price_any,exposure_wind_solar_output_100mw,negative_price_any,log_demand_centered_sq,-0.08950301033351568,0.004118900516056754,-21.729830566338066,0.0,-0.09757596904000762,-0.08143005162702374,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_separate_wind_solar_negative_price_any,exposure_separate_wind_solar,negative_price_any,wind_share_10pp,0.0033949456123350138,0.0016320683204449243,2.0801492007451654,0.03751346277651324,0.00019612590149088293,0.006593765323179145,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_separate_wind_solar_negative_price_any,exposure_separate_wind_solar,negative_price_any,solar_utility_share_10pp,-0.014799838836211344,0.0026362022583504155,-5.6140756231171105,1.9794713645993056e-08,-0.019966740025423965,-0.009632937646998725,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_separate_wind_solar_negative_price_any,exposure_separate_wind_solar,negative_price_any,log_demand_centered,-0.7485528014966906,0.01939398159028421,-38.59716984941826,0.0,-0.786564599045605,-0.7105410039477761,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_separate_wind_solar_negative_price_any,exposure_separate_wind_solar,negative_price_any,log_demand_centered_sq,-0.10970298658092043,0.004487711090177413,-24.44519809241631,0.0,-0.11849880628528173,-0.10090716687655912,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_all_unknown_as_renewable_upper_bound_negative_price_any,exposure_all_unknown_as_renewable_upper_bound,negative_price_any,renewable_share_ws_unknown_upper_10pp_p999,0.035429665272669573,0.0013799955362966112,25.673753530934935,0.0,0.03272490293712978,0.03813442760820937,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
